[10000, 2]
0.0013;  [0.684565, 0.72897, 0]; [-4.57995, 4.30116, 0];   [5.18767, 0.357914, 0]; [-0.189651, 2.74882, 0];   
0.00131;  [0.679972, 0.733257, 0]; [-4.60689, 4.2723, 0];   [5.18748, 0.360663, 0]; [-0.191108, 2.74872, 0];   
0.00132;  [0.675352, 0.737514, 0]; [-4.63364, 4.24327, 0];   [5.18729, 0.363411, 0]; [-0.192564, 2.74862, 0];   
0.00133;  [0.670705, 0.741743, 0]; [-4.6602, 4.21407, 0];   [5.18709, 0.36616, 0]; [-0.19402, 2.74852, 0];   
0.00134;  [0.666031, 0.745942, 0]; [-4.68659, 4.18471, 0];   [5.1869, 0.368908, 0]; [-0.195477, 2.74842, 0];   
0.00135;  [0.661332, 0.750112, 0]; [-4.71279, 4.15518, 0];   [5.1867, 0.371657, 0]; [-0.196933, 2.74831, 0];   
0.00136;  [0.656606, 0.754253, 0]; [-4.7388, 4.12548, 0];   [5.1865, 0.374405, 0]; [-0.198389, 2.74821, 0];   
0.00137;  [0.651854, 0.758363, 0]; [-4.76462, 4.09563, 0];   [5.1863, 0.377153, 0]; [-0.199846, 2.7481, 0];   
0.00138;  [0.647077, 0.762444, 0]; [-4.79026, 4.06561, 0];   [5.1861, 0.379901, 0]; [-0.201302, 2.748, 0];   
0.00139;  [0.642274, 0.766495, 0]; [-4.81571, 4.03543, 0];   [5.1859, 0.382649, 0]; [-0.202758, 2.74789, 0];   
0.0014;  [0.637445, 0.770515, 0]; [-4.84097, 4.00509, 0];   [5.1857, 0.385397, 0]; [-0.204214, 2.74778, 0];   
0.00141;  [0.632592, 0.774505, 0]; [-4.86603, 3.97459, 0];   [5.18549, 0.388145, 0]; [-0.20567, 2.74767, 0];   
0.00142;  [0.627713, 0.778464, 0]; [-4.89091, 3.94394, 0];   [5.18529, 0.390892, 0]; [-0.207126, 2.74756, 0];   
0.00143;  [0.62281, 0.782393, 0]; [-4.91559, 3.91313, 0];   [5.18508, 0.39364, 0]; [-0.208581, 2.74745, 0];   
0.00144;  [0.617882, 0.78629, 0]; [-4.94008, 3.88217, 0];   [5.18487, 0.396387, 0]; [-0.210037, 2.74734, 0];   
0.00145;  [0.61293, 0.790157, 0]; [-4.96437, 3.85105, 0];   [5.18466, 0.399134, 0]; [-0.211493, 2.74723, 0];   
0.00146;  [0.607953, 0.793992, 0]; [-4.98847, 3.81978, 0];   [5.18445, 0.401882, 0]; [-0.212949, 2.74712, 0];   
0.00147;  [0.602953, 0.797796, 0]; [-5.01236, 3.78836, 0];   [5.18423, 0.404629, 0]; [-0.214404, 2.747, 0];   
0.00148;  [0.597929, 0.801569, 0]; [-5.03607, 3.75679, 0];   [5.18402, 0.407376, 0]; [-0.21586, 2.74689, 0];   
0.00149;  [0.592881, 0.80531, 0]; [-5.05957, 3.72508, 0];   [5.1838, 0.410123, 0]; [-0.217315, 2.74678, 0];   
0.0015;  [0.58781, 0.809019, 0]; [-5.08287, 3.69321, 0];   [5.18358, 0.412869, 0]; [-0.218771, 2.74666, 0];   
0.00151;  [0.582715, 0.812696, 0]; [-5.10597, 3.6612, 0];   [5.18336, 0.415616, 0]; [-0.220226, 2.74654, 0];   
0.00152;  [0.577598, 0.816341, 0]; [-5.12888, 3.62905, 0];   [5.18314, 0.418362, 0]; [-0.221681, 2.74643, 0];   
0.00153;  [0.572457, 0.819954, 0]; [-5.15157, 3.59675, 0];   [5.18292, 0.421109, 0]; [-0.223137, 2.74631, 0];   
0.00154;  [0.567295, 0.823535, 0]; [-5.17407, 3.56431, 0];   [5.1827, 0.423855, 0]; [-0.224592, 2.74619, 0];   
0.00155;  [0.562109, 0.827083, 0]; [-5.19636, 3.53173, 0];   [5.18247, 0.426601, 0]; [-0.226047, 2.74607, 0];   
0.00156;  [0.556902, 0.830598, 0]; [-5.21845, 3.49901, 0];   [5.18224, 0.429347, 0]; [-0.227502, 2.74595, 0];   
0.00157;  [0.551673, 0.834081, 0]; [-5.24033, 3.46615, 0];   [5.18202, 0.432093, 0]; [-0.228957, 2.74583, 0];   
0.00158;  [0.546421, 0.837531, 0]; [-5.262, 3.43316, 0];   [5.18179, 0.434839, 0]; [-0.230412, 2.74571, 0];   
0.00159;  [0.541149, 0.840947, 0]; [-5.28346, 3.40003, 0];   [5.18156, 0.437584, 0]; [-0.231867, 2.74559, 0];   
0.0016;  [0.535854, 0.844331, 0]; [-5.30472, 3.36676, 0];   [5.18132, 0.44033, 0]; [-0.233322, 2.74546, 0];   
0.00161;  [0.530539, 0.847681, 0]; [-5.32577, 3.33336, 0];   [5.18109, 0.443075, 0]; [-0.234776, 2.74534, 0];   
0.00162;  [0.525203, 0.850997, 0]; [-5.3466, 3.29983, 0];   [5.18085, 0.445821, 0]; [-0.236231, 2.74521, 0];   
0.00163;  [0.519846, 0.85428, 0]; [-5.36723, 3.26618, 0];   [5.18062, 0.448566, 0]; [-0.237686, 2.74509, 0];   
0.00164;  [0.514469, 0.85753, 0]; [-5.38764, 3.23239, 0];   [5.18038, 0.451311, 0]; [-0.23914, 2.74496, 0];   
0.00165;  [0.509071, 0.860745, 0]; [-5.40784, 3.19847, 0];   [5.18014, 0.454056, 0]; [-0.240595, 2.74483, 0];   
0.00166;  [0.503653, 0.863926, 0]; [-5.42783, 3.16443, 0];   [5.1799, 0.4568, 0]; [-0.242049, 2.74471, 0];   
0.00167;  [0.498215, 0.867074, 0]; [-5.44761, 3.13026, 0];   [5.17965, 0.459545, 0]; [-0.243503, 2.74458, 0];   
0.00168;  [0.492758, 0.870187, 0]; [-5.46716, 3.09597, 0];   [5.17941, 0.46229, 0]; [-0.244958, 2.74445, 0];   
0.00169;  [0.487281, 0.873266, 0]; [-5.48651, 3.06156, 0];   [5.17916, 0.465034, 0]; [-0.246412, 2.74432, 0];   
0.0017;  [0.481785, 0.87631, 0]; [-5.50563, 3.02702, 0];   [5.17892, 0.467778, 0]; [-0.247866, 2.74419, 0];   
0.00171;  [0.47627, 0.87932, 0]; [-5.52454, 2.99237, 0];   [5.17867, 0.470522, 0]; [-0.24932, 2.74406, 0];   
0.00172;  [0.470736, 0.882295, 0]; [-5.54323, 2.9576, 0];   [5.17842, 0.473266, 0]; [-0.250774, 2.74392, 0];   
0.00173;  [0.465183, 0.885235, 0]; [-5.5617, 2.92271, 0];   [5.17817, 0.47601, 0]; [-0.252228, 2.74379, 0];   
0.00174;  [0.459613, 0.88814, 0]; [-5.57996, 2.88771, 0];   [5.17791, 0.478754, 0]; [-0.253682, 2.74366, 0];   
0.00175;  [0.454024, 0.89101, 0]; [-5.59799, 2.85259, 0];   [5.17766, 0.481498, 0]; [-0.255135, 2.74352, 0];   
0.00176;  [0.448417, 0.893845, 0]; [-5.6158, 2.81736, 0];   [5.1774, 0.484241, 0]; [-0.256589, 2.74339, 0];   
0.00177;  [0.442792, 0.896645, 0]; [-5.63339, 2.78202, 0];   [5.17715, 0.486984, 0]; [-0.258043, 2.74325, 0];   
0.00178;  [0.43715, 0.899409, 0]; [-5.65075, 2.74657, 0];   [5.17689, 0.489728, 0]; [-0.259496, 2.74311, 0];   
0.00179;  [0.431491, 0.902138, 0]; [-5.6679, 2.71101, 0];   [5.17663, 0.492471, 0]; [-0.26095, 2.74297, 0];   
0.0018;  [0.425814, 0.904831, 0]; [-5.68482, 2.67534, 0];   [5.17637, 0.495214, 0]; [-0.262403, 2.74284, 0];   
0.00181;  [0.420121, 0.907489, 0]; [-5.70151, 2.63957, 0];   [5.1761, 0.497956, 0]; [-0.263857, 2.7427, 0];   
0.00182;  [0.414411, 0.91011, 0]; [-5.71798, 2.6037, 0];   [5.17584, 0.500699, 0]; [-0.26531, 2.74256, 0];   
0.00183;  [0.408685, 0.912696, 0]; [-5.73423, 2.56772, 0];   [5.17557, 0.503441, 0]; [-0.266763, 2.74242, 0];   
0.00184;  [0.402943, 0.915246, 0]; [-5.75025, 2.53164, 0];   [5.1753, 0.506184, 0]; [-0.268216, 2.74227, 0];   
0.00185;  [0.397185, 0.917759, 0]; [-5.76604, 2.49546, 0];   [5.17504, 0.508926, 0]; [-0.269669, 2.74213, 0];   
0.00186;  [0.391411, 0.920237, 0]; [-5.7816, 2.45918, 0];   [5.17477, 0.511668, 0]; [-0.271122, 2.74199, 0];   
0.00187;  [0.385622, 0.922678, 0]; [-5.79694, 2.4228, 0];   [5.17449, 0.51441, 0]; [-0.272575, 2.74184, 0];   
0.00188;  [0.379817, 0.925082, 0]; [-5.81204, 2.38633, 0];   [5.17422, 0.517152, 0]; [-0.274028, 2.7417, 0];   
